ISBN,Title,Authors,Categories,Description,Published Date,Language,Num Pages
9788532500816,A conexão Bellarosa,"Saul Bellow, Eliana Sabino",Political refugees,"'A conexão Bellarosa' conta a história de Harry Fonstein, judeu foragido de uma prisão na Itália durante a ocupação nazista. A fuga acontece graças ao empenho de uma operação encabeçada por um lendário produtor da Broadway chamado Billy Rose. Quando Harry chega a América, ele quer conhecer e agradecer o benfeitor que o salvou da prisão, mas Billy Rose recusa-se a ter qualquer contato com ele. Encontrar Billy Rose transforma-se em uma obsessão para Harry Fonstein. Sorella, a perspicaz mulher de Harry, começa a ajudar o marido nessa procura e consegue afinal conhecer o impenetrável e misterioso império do produtor. Ela se apossa de documentos comprometedores e tenta chantagear Billy Rose em troca de um encontro com seu marido.",1991,pt-BR,132
9788532504883,As vidas de Chico Xavier,Marcel Souto Maior,Mediums,Descrição não disponível,1994,pt-BR,264
9788532506351,Hildegard de Bingen,Régine Pernoud,,Descrição não disponível,1996,pt-BR,134
9788532510044,Shakespeare apaixonado,"Marc Norman, Tom Stoppard",,"Entremeando elementos ficcionais e biográficos, trechos de sonetos e peças de Shakespeare, com humor e habilidade, Marc Norman e Tom Stoppard construíram um roteiro delicioso, com papéis que qualquer ator ou atriz gostaria de interpretar. O elenco do filme, liderado por Gwyneth Paltrow, Joseph Fiennes, Geoffrey Rush, Colin Firth, Ben Affleck e Judi Dench, e dirigido por John Madden, soube honrar a galeria desses personagens inesquecíveis que se provam inesquecíveis, na tela como no papel.",1999,pt-BR,15
9788532506030,A mulher que eles chamavam fatal,Mireille Dottin-Orsini,Femmes fatales,"'A mulher que eles chamavam fatal' é a revelação de um enigma, de como as mulheres simples se transformaram no final do século XIX na origem dos mais terríveis assombros, muitas vezes sob a aparência de delícias paradisíacas. Neste A mulher que eles chamavam fatal, a autora Mireille Dottin-Orsini percorre um caminho revelador através de imagens de mulheres fatais da literatura e da arte do fim do século XIX, especialmente entre 1880-1914. Elas eram perigosas, maléficas, assassinas, o portal do suicídio, como a bela Otero, que arruinava e levava os amantes à morte, ou Sarah Bernhardt, que teve relações sexuais dentro de um caixão. Estas vampiras mal-assombradas pouco tinham a ver com as mulheres de carne e osso, obrigadas a suportar tão alheias imagens. A autora tenta se aproximar da origem de tantas Dalilas, Evas e Salomés, tanto do imaginário masculino quanto do feminino.",1996,pt-BR,371
9788532509208,A grande fala do índio guarani e A catedral de Colônia,Affonso Romano de Sant'Anna,,Descrição não disponível,1998,pt-BR,181
9788532506641,"Pavarotti, meu mundo","Luciano Pavarotti, William Wright, Denise Maria Duque Estrada",Tenors (Singers),Descrição não disponível,1996,pt-BR,301
9788532506993,Arthur Bispo do Rosario,Luciana Hidalgo,Artists with mental disabilities,Descrição não disponível,1996,pt-BR,228
9788532506757,A Escolha da Dra. Cole,Noah Gordon,,"Com 'A escolha da Dra. Cole', Noah Gordon encerra a trilogia iniciada com o lendário médico do século XI, Robert Jeremy Cole, herói de o Físico. A saga prosseguiu em Xama, que se passa nos EUA, no século XVIII. Neste livro, cuja ação transcorre no final do século XX, a herdeira do dom é Roberta Jeanne d'Arc. A ela cabe enfrentar um dos grandes desafios das mulheres de seu tempo; o direito de dispor sobre a própria vida e sobre o próprio corpo.",2000,pt-BR,320
9788532514981,O cavaleiro do medo,R. L. Stine,,"Qual o melhor lugar do mundo para inaugurar um Museu dos Mistérios da História, com caixões, múmias e outras esquisitices do gênero? Quem pensou na Rua do Medo acertou. Assim como o pai de Miguel e Carla, proprietário do tal museu, que tratou de se mudar com os filhos para Shadyside, logo que soube da fama horripilante que a rua carregava há anos. Coisas estranhas aconteciam por lá todas as noites, os jornais não se cansavam de noticiar. Além disso, faltavam só duas semanas para o Dia das Bruxas. Era importante que tudo estivesse pronto para receber os turistas que, certamente, lotariam a cidade. Afinal o museu era realmente um lugar único em todo o mundo, com seus manequins de cera, seus instrumentos de tortura e armas medievais pra lá de impressionantes. Só faltava mesmo a encomenda que o tio Nildo mandaria de Londres - uma armadura de cavaleiro mal-assombrada.",2003,pt-BR,107
9788532506047,Lasher,Anne Rice,New Orleans (La.),"Esta obra conta mais uma trajetória de várias gerações de bruxas de Nova Orleans - a incestuosa família Mayfair, milionária e moderna, porém marcada pelo demônio que percorre a sua linhagem através dos séculos. Ao nascer, Lasher se levanta e vai ao encontro de sua mãe, Rowan, sequestrando-a e levando-a para longe, com a ideia fixa de se reproduzir e repovoar a terra com sua espécie. A fecundação é imediata, mas a reprodução impossível, a menos que o demônio encontre alguém com a conjunção ideal de homem e mulher com 92 cromossomas.",1996,pt-BR,541
9788532506962,Taltos,Anne Rice,New Orleans (La.),"O poder de engendrar histórias poderosas que Anne Rice tão bem provou em outros livros está presente também em 'Taltos'. Este novo romance da autora é a continuação da epopéia dos bruxos Mayfair, saga hipnótica do oculto iniciada com 'A Hora das Bruxas' e 'Lasher'. A autora narra a história do único sobrevivente da espécie arcaica conhecida como Taltos, lutando para circular entre os humanos, agora como diretor de uma grande corporação.",1996,pt-BR,492
9788532506597,Reorganize sua bagagem,"Richard Leider, David A. Shapiro",,"'Reorganize sua bagagem', de Richard J. Leider e David A. Shapiro, um guia para executivos muito bem-sucedidos que, inexplicavelmente, vivem mergulhados em frustração. Os dois autores partem da própria experiência pessoal e de centenas de entrevistas com executivos em busca de autoconhecimento, de felicidade, da verdadeira vida boa. Richard J. Leider e David A Shapiro ensinam de que maneira cada um de nós deve desenvolver a própria visão de vida boa e tentar alcançá-la, ainda que isto signifique muitas mudanças na bagagem.",1996,pt-BR,250
9788532505736,A lua dos namorados,Alice Hoffman,Florida,"When Keith Rosen runs away from his Florida home taking along a motherless baby, his divorced mother is perplexed and terrified. She sets out on her own journey to find him, and the resulting events change both of their lives in ways both simple and extraordindary.",1996,pt-BR,214
9788532507006,Keith Jarrett no blue note,Silviano Santiago,Literary Criticism,"""Impressive Jazz Improvisations are accomplished stories with Jarrett's songs as titles. Introspective and retrospective, follows Machado de Assis' and Proust's memorialist paths as character/narrator recasts old loves in cities of his youth against snowy Midwestern US background. Although presented as 'gay stories', range is universal""--Handbook of Latin American Studies, v. 58.",1996,pt-BR,160
9788532503954,"Jesuíno, o profeta",Chico Anísio,"Brazil, Northeast",Descrição não disponível,1993,pt-BR,172
9788532506221,PRONTO,ELMORE LEONARD,,"Por vinte anos o bem-sucedido bookmaker Harry Arno dirigiu casas de aposta em Miami Beach. Durante este período viu seus rendimentos aumentarem, escolheu a dedo seus parceiros, transformou-se numa raposa no negócio. Porém, quando planejava viver para sempre com Joyce, sua namorada, numa vila que adquiriu na Riviera italiana, se vê envolvido numa armadilha do FBI contra o crime organizado que irá alterar os rumos de sua vida.",sem dt,pt-BR,236
